class_name,positive_count,negative_count,frequency,inverse_frequency_weight,bce_pos_weight
Atelectasis,10153,68331,0.12936395,0.16875136,6.7301292
Cardiomegaly,2776,75708,0.035370268,0.6171947,27.272335
Effusion,11383,67101,0.14503594,0.1505168,5.894843
Infiltration,15986,62498,0.20368482,0.10717707,3.909546
Mass,5762,72722,0.07341624,0.29735032,12.620965
Nodule,6331,72153,0.080666125,0.2706259,11.396778
Pneumonia,1431,77053,0.018233016,1.1972975,53.845562
Pneumothorax,5302,73182,0.06755517,0.3231484,13.802716
Consolidation,4640,73844,0.05912033,0.36925274,15.914655
Edema,2294,76190,0.029228887,0.74687564,33.21273
Emphysema,2516,75968,0.03205749,0.68097484,30.193958
Fibrosis,1686,76798,0.021482086,1.0162115,45.550415
Pleural_Thickening,3380,75104,0.043066103,0.5069031,22.220118
Hernia,227,78257,0.0028923093,7.5477204,344.7445
