class_name,positive_count,frequency,inverse_frequency_weight,bce_pos_weight
Atelectasis,1238,0.117915995,0.218427718,7.480613708
Cardiomegaly,396,0.037717879,0.682862401,25.51262665
Effusion,1261,0.120106675,0.214443699,7.325932026
Infiltration,1874,0.178493187,0.144297495,4.602454662
Mass,470,0.044766169,0.5753479,21.3382988
Nodule,666,0.063434616,0.406026274,14.76426411
Pneumonia,184,0.017525479,1.469638586,56.05978394
Pneumothorax,670,0.063815601,0.403602272,14.67014885
Consolidation,557,0.053052671,0.485482067,17.84919167
Edema,196,0.018668445,1.379660845,52.56632614
Emphysema,318,0.030288599,0.850356996,32.01572418
Fibrosis,379,0.036098678,0.713492095,26.70184708
Pleural_Thickening,468,0.044575673,0.577806711,21.4337616
Hernia,46,0.00438137,5.878554344,227.2391357
